"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 15:28:16.164","10000000000"," "," "," ","0","6842589184","6585483264","26082009088","25.249141052672574"," "," "," "," ","1033539584","139042816"," "," "," ","0","2","0","2","0","0","1560","1560","520","520","31","31","121","119","0","220819880","0","0"
"03/30/2016 15:28:17.283","10000000000","4244.7313723985044","2483.3912597674621","1761.3401126310425","0","6842146816","6588411904","26082009088","25.26036963552491","125071.23329463627","0","0","0","1033539584","139026432","12.545742744760377","60.968800349634392","39.031199650365615","0","2","0","2","0","0","1832","1832","264","264","40","40","121","117","0","220819880","0","0"
"03/30/2016 15:28:18.293","10000000000","3672.0074624220674","2204.7885194968844","1467.218942925183","0","6842163200","6586249216","26082009088","25.252077758957032","135820.71495341629","0","0","0","1033547776","139063296","12.355279323552795","59.073132290731323","47.104507371045074","0","2","0","2","0","0","6056","6056","144","144","44","44","95","95","0","220819880","0","0"
"03/30/2016 15:28:19.302","10000000000","15553.03198400656","9111.4168510868039","6441.6151329197555","0","6839562240","6586793984","26082009088","25.254166432410685","145638.97204903912","0","0","0","1033523200","139001856","19.324251915740042","59.805545709056453","50.243062908773538","0","2","0","2","0","0","8248","8248","2656","2656","38","38","133","132","0","220819880","0","0"
"03/30/2016 15:28:20.418","10000000000","12552.502177493152","8238.7274301782181","4313.7747473149329","0","6846144512","6587727872","26082009088","25.257747015474084","61363.109816789554","0","0","0","1033523200","139001856","11.88061301396742","60.165022924230868","47.522434136514661","0","1","0","1","0","0","9992","9992","4176","4176","43","43","128","128","0","220819880","0","0"
"03/30/2016 15:28:21.529","10000000000","9735.5049798152104","6898.3829664666946","2837.1220133485153","0","6846083072","6588051456","26082009088","25.258987656096931","520.25904940210717","0","0","0","1033523200","139005952","0.70200000702000009","50.85968450859685","49.842324498423245","0","1","0","1","0","0","6160","6160","3936","3936","36","36","123","123","0","220819880","0","0"
"03/30/2016 15:28:22.640","10000000000","1807334.9862127535","1452208.6372475731","355126.34896518016","0","6812250112","6612164608","26082009088","25.351438938966446","18726.532765131655","326.7354671349575","80.108695798928977","0","1033740288","138944512","21.060135210601352","77.535855775358556","49.14031549140315","0","1","0","1","0","0","166072","166072","3648","3648","66","66","122","122","0","243167912","0","0"
"03/30/2016 15:28:23.680","10000000000","1013341.4224851796","18805.930705905215","994535.49177927442","0","6819303424","6603608064","26082009088","25.318632631863608","877.69350615554754","3.8495329217348577","0.96238323043371443","0","1033547776","138964992","16.514335091996095","69.223279789441648","51.794955249422124","0","1","0","1","0","0","99808","99808","2352","2352","50","50","122","122","0","254341920","0","0"
"03/30/2016 15:28:24.689","10000000000","6141.2418231153888","4710.2343690926964","1431.0074540226917","0","6819610624","6602264576","26082009088","25.31348161763205","192.25446404459987","0","0","0","1033539584","138981376","1.5459405496516749","5.6976264712478191","4.6378216489550255","0","1","0","1","0","0","50648","50648","2248","2248","49","49","123","123","0","226763160","0","0"
"03/30/2016 15:28:25.698","10000000000","7850.9971519571309","5325.8342204768514","2525.162931480279","0","6819659776","6602354688","26082009088","25.31382711248904","290.37391637508699","0","0","0","1033531392","138964992","6.9567374283384344","0","0","0","1","0","1","0","0","25400","25400","1264","1264","49","49","124","124","0","246139552","0","0"
"03/30/2016 15:28:26.808","10000000000","2997.1147703076822","1894.479219103413","1102.6355512042689","0","6819713024","6604808192","26082009088","25.32323399518631","693.65144969549601","0","0","0","1033531392","138969088","0","12.170377556838908","2.1079153345926671","0","1","0","1","0","0","12808","12808","656","656","49","49","119","119","0","255827744","0","0"
"03/30/2016 15:28:27.816","10000000000","11311.094991770142","2015.7994231956611","9295.2955685744819","0","6819815424","6602440704","26082009088","25.314156903034359","378.95441912438122","0","0","0","1033531392","138956800","3.0949484416637705","0","1.5474742208318852","0","1","0","1","0","0","35472","35472","328","328","32","32","119","116","0","260671840","0","0"
"03/30/2016 15:28:28.927","10000000000","15822.900164790375","3324.7891472545875","12498.111017535788","0","6819758080","6604111872","26082009088","25.320564262200445","3381.4923731011058","0","0","0","1033531392","138973184","14.742090147420903","31.203558312035582","9.1260540912605403","0","1","0","1","0","0","65976","65976","192","192","22","22","104","100","0","263093888","0","0"
"03/30/2016 15:28:29.957","10000000000","291117.92855082569","8087.7081600545962","283030.22039077111","0","6811062272","6616535040","26082009088","25.368195439530705","17979.010944991907","0","0","0","1033519104","138964992","57.967552665582865","96.988698813516322","38.394094953439016","0","1","0","1","0","0","1106032","1106032","104","104","17","17","107","100","0","264304912","0","0"
"03/30/2016 15:28:30.997","10000000000","295060.28194930742","8895.7309486803279","286164.55100062711","0","6796177408","6631424000","26082009088","25.425280612493285","16185.83904482077","0","0","0","1033519104","138973184","49.786426496731117","95.473961227569902","46.769067315111052","0","1","0","1","0","0","1620352","1620352","120","120","15","15","106","100","0","264910424","0","0"
"03/30/2016 15:28:32.036","10000000000","334990.14539687178","10329.228282581142","324660.91711429064","0","6784442368","6639263744","26082009088","25.455338665051848","15762.171538475077","0","0","0","1033510912","138977280","49.543958866074242","97.748006681654857","48.793288010717902","0","1","0","1","0","0","2024232","2024232","80","80","14","14","111","100","0","265515936","0","0"
"03/30/2016 15:28:33.105","10000000000","361863.84650772641","9803.1816290508614","352060.66487867554","0","6772523008","6651338752","26082009088","25.501634975889171","16042.165090928203","0","0","0","1033510912","138981376","46.693478453838431","95.622486394952645","48.152649655520882","0","1","0","1","0","0","2346800","2346800","80","80","14","14","83","76","0","207174472","0","0"
"03/30/2016 15:28:34.138","10000000000","373513.71778896847","8889.5412770129606","364624.17651195551","0","6761349120","6664478720","26082009088","25.552014407763707","15647.955187649106","0","0","0","1033510912","138993664","54.360836907596756","94.714913794196576","43.035667391634504","0","1","0","1","0","0","2512928","2512928","88","88","13","13","120","120","0","238710952","0","0"
"03/30/2016 15:28:35.198","10000000000","367171.38722801564","10116.196955960684","357055.19027205493","0","6803345408","6621339648","26082009088","25.386616597133209","15431.662969231782","0","0","0","1033510912","138956800","44.924969259447991","96.317629804536082","51.553248829980078","0","1","0","1","0","0","2596768","2596768","88","88","13","13","84","84","0","220158696","0","0"
"03/30/2016 15:28:36.265","10000000000","410727.26434461947","11177.552535808838","399549.71180881065","0","6790791168","6634172416","26082009088","25.435818205631627","18288.155205302253","37.483408906132922","2.8112556679599692","0","1033510912","138948608","50.435771793017516","97.07618741406084","53.359575007822556","0","1","0","1","0","0","2710464","2710464","104","104","13","13","100","100","0","174132944","0","0"
"03/30/2016 15:28:37.407","10000000000","354858.7107082525","10305.689261595533","344553.02144665696","0","6779379712","6647484416","26082009088","25.486857218596793","15252.873257712381","0","0","0","1033506816","138936320","49.637895844242955","95.240196991634747","46.23804402471697","0","1","0","1","0","0","2648128","2648128","56","56","13","13","100","100","0","151422824","0","0"
"03/30/2016 15:28:38.546","10000000000","336782.06861132797","10426.744051573392","326355.32455975458","0","6770085888","6656434176","26082009088","25.521171139621067","14415.723459459594","0","0","0","1033506816","138969088","39.890446581444152","94.497869437042198","45.392577144401962","0","1","0","1","0","0","2679864","2679864","88","88","13","13","100","91","0","156629520","0","0"
"03/30/2016 15:28:39.617","10000000000","351849.68916603632","9634.0651582073133","342215.624007829","0","6820429824","6602207232","26082009088","25.313261757268506","14382.01626233933","0","0","0","1033494528","138960896","44.421617595476683","95.630661023533506","51.703849222920852","0","1","0","1","0","0","2626736","2626736","72","72","13","13","128","128","0","121197568","0","0"
"03/30/2016 15:28:40.654","10000000000","356063.97660046339","9849.7472489492993","346214.22935151408","0","6809767936","6613340160","26082009088","25.355946076419066","17199.700564598654","0","0","0","1033494528","138940416","52.646953241030772","95.48740400791165","43.621761256854064","0","1","0","1","0","0","2615128","2615128","56","56","13","13","88","88","0","177294864","0","0"
"03/30/2016 15:28:41.717","10000000000","382480.85972467886","10408.455418527465","372072.40430615138","0","6800666624","6623830016","26082009088","25.396164818635615","15612.212625331267","0","0","0","1033502720","138964992","47.690734219146293","97.065185297086472","46.223326867689522","0","1","0","1","0","0","2762184","2762184","56","56","13","13","116","116","0","172048192","0","0"
"03/30/2016 15:28:42.742","10000000000","390616.30170828808","11000.828872123348","379615.4728361647","0","6787624960","6633975808","26082009088","25.435064398670914","15644.609453102621","0","0","0","1033494528","139010048","51.490326695485791","95.456735879810068","45.43264120189923","0","1","0","1","0","0","2802408","2802408","48","48","13","13","66","66","0","130508360","0","0"
"03/30/2016 15:28:43.799","10000000000","406042.9134571795","10967.396066369489","395075.51739081001","0","6778429440","6643834880","26082009088","25.472864676888495","19186.283524503251","0.95137023476487592","0.95137023476487592","0","1033486336","139087872","48.977338231923717","97.031676470792505","47.493176467319962","0","1","0","1","0","0","2908680","2908680","56","56","13","13","116","116","0","198550416","0","0"
